GR.GTTG..BHZ        0.0    1
GR.GRB5..BHZ        0.9    1
GR.CLL..BHZ       -0.2    1
GR.GRA1..BHZ       -3.6    1
GR.GRC2..BHZ       -6.9   -1
GR.CLZ..BHZ       6.05   -1
GR.BUG..BHZ       -7.1   -1
GR.ASSE..BHZ       -1.7    1
GR.FUR..BHZ       -3.8   -1
GR.NRDL..BHZ        0.7   -1
GR.MOX..BHZ        0.0    1
GR.GRC4..BHZ       -7.5   -1
GR.GRB4..BHZ       -2.3    1
GR.BFO..BHZ      -0.55   -1
GR.GRB3..BHZ        6.4    1
GR.WET..BHZ       0.25   -1
