	3643.9700	9.1426	0.0000	10.9434	57822.0000	0.0000
	3694.3000	9.2042	0.0000	11.0001	57822.0000	0.0000
	3744.6300	9.2634	0.0000	11.0555	57822.0000	0.0000
	3794.9600	9.3205	0.0000	11.1095	57822.0000	0.0000
	3845.2900	9.3760	0.0000	11.1623	57822.0000	0.0000
	3895.6200	9.4297	0.0000	11.2137	57822.0000	0.0000
	3945.9500	9.4814	0.0000	11.2639	57822.0000	0.0000
	3996.2800	9.5306	0.0000	11.3127	57822.0000	0.0000
	4046.6200	9.5777	0.0000	11.3604	57822.0000	0.0000
	4096.9500	9.6232	0.0000	11.4069	57822.0000	0.0000
	4147.2800	9.6673	0.0000	11.4521	57822.0000	0.0000
	4197.6100	9.7100	0.0000	11.4962	57822.0000	0.0000
	4247.9400	9.7513	0.0000	11.5391	57822.0000	0.0000
	4298.2700	9.7914	0.0000	11.5809	57822.0000	0.0000
	4348.6000	9.8304	0.0000	11.6216	57822.0000	0.0000
	4398.9300	9.8682	0.0000	11.6612	57822.0000	0.0000
	4449.2600	9.9051	0.0000	11.6998	57822.0000	0.0000
	4499.6000	9.9410	0.0000	11.7373	57822.0000	0.0000
	4549.9300	9.9761	0.0000	11.7737	57822.0000	0.0000
	4600.2600	10.0103	0.0000	11.8092	57822.0000	0.0000
	4650.5900	10.0439	0.0000	11.8437	57822.0000	0.0000
	4700.9200	10.0768	0.0000	11.8772	57822.0000	0.0000
	4751.2500	10.1095	0.0000	11.9098	57822.0000	0.0000
	4801.5800	10.1415	0.0000	11.9414	57822.0000	0.0000
	4851.9100	10.1739	0.0000	11.9722	57822.0000	0.0000
	4902.2400	10.2049	0.0000	12.0001	57822.0000	0.0000
	4952.5800	10.2329	0.0000	12.0311	57822.0000	0.0000
	5002.9100	10.2565	0.0000	12.0593	57822.0000	0.0000
	5053.2400	10.2745	0.0000	12.0867	57822.0000	0.0000
	5103.5700	10.2854	0.0000	12.1133	57822.0000	0.0000
	5153.5000	10.2890	0.0000	12.1391	57822.0000	0.0000
	5153.5000	11.0427	3.5043	12.7037	633.2600	85.0300
	5204.6100	11.0585	3.5187	12.7289	629.8900	85.0300
	5255.3200	11.0718	3.5314	12.7530	626.8700	85.0300
	5306.0400	11.0850	3.5435	12.7760	624.0800	85.0300
	5356.7500	11.0983	3.5551	12.7980	621.5000	85.0300
	5407.4600	11.1166	3.5661	12.8188	619.7100	85.0300
	5458.1700	11.1316	3.5765	12.8387	617.7800	85.0300
	5508.8900	11.1457	3.5864	12.8574	615.9300	85.0300
	5559.6000	11.1590	3.5957	12.8751	614.2100	85.0300
	5610.3100	11.1715	3.6044	12.8917	612.6200	85.0300
	5661.0200	11.1832	3.6126	12.9072	611.1200	85.0300
	5711.7400	11.1941	3.6202	12.9217	609.7400	85.0300
	5762.4500	11.2041	3.6272	12.9351	608.4800	85.0300
	5813.1600	11.2134	3.6337	12.9474	607.3100	85.0300
	5863.8700	11.2219	3.6396	12.9586	606.2600	85.0300
	5914.5900	11.2295	3.6450	12.9688	605.2800	85.0300
	5965.3000	11.2364	3.6498	12.9779	604.4400	85.0300
	6016.0100	11.2424	3.6540	12.9859	603.6900	85.0300
	6066.7200	11.2477	3.6577	12.9929	603.0400	85.0300
	6117.4400	11.2521	3.6608	12.9988	602.4900	85.0300
	6168.1500	11.2557	3.6633	13.0036	602.0500	85.0300
	6218.8600	11.2586	3.6653	13.0074	601.7000	85.0300
	6269.5700	11.2606	3.6667	13.0100	601.4600	85.0300
	6320.2900	11.2618	3.6675	13.0117	601.3200	85.0300
	6371.0000	11.2622	3.6678	13.0122	601.2700	85.0300
